study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB2827	SAMEA1466183	ERS085386	ERX113804	ERR137786	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137786/ERR137786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137786/ERR137786_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137786/ERR137786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137786/ERR137786_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137786/7790_1#53.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137786/7790_1#53.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137786	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137786		
PRJEB2827	SAMEA1466198	ERS085387	ERX113805	ERR137787	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137787/ERR137787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137787/ERR137787_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137787/ERR137787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137787/ERR137787_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137787/7790_1#54.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137787/7790_1#54.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137787	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137787		
PRJEB2827	SAMEA1466191	ERS085388	ERX113806	ERR137788	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137788/ERR137788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137788/ERR137788_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137788/ERR137788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137788/ERR137788_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137788/7790_1#55.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137788/7790_1#55.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137788	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137788		
PRJEB2827	SAMEA1466099	ERS085389	ERX113807	ERR137789	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137789/ERR137789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137789/ERR137789_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137789/ERR137789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137789/ERR137789_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137789/7790_1#56.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137789/7790_1#56.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137789	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137789		
PRJEB2827	SAMEA1466155	ERS085390	ERX113808	ERR137790	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137790/ERR137790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137790/ERR137790_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137790/ERR137790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137790/ERR137790_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137790/7790_1#57.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137790/7790_1#57.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137790	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137790		
PRJEB2827	SAMEA1466136	ERS085391	ERX113809	ERR137791	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137791/ERR137791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137791/ERR137791_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137791/ERR137791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137791/ERR137791_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137791/7790_1#58.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137791/7790_1#58.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137791	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137791		
PRJEB2827	SAMEA1466126	ERS085392	ERX113810	ERR137792	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137792/ERR137792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137792/ERR137792_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137792/ERR137792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137792/ERR137792_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137792/7790_1#59.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137792/7790_1#59.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137792	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137792		
PRJEB2827	SAMEA1466139	ERS085393	ERX113811	ERR137793	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137793/ERR137793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137793/ERR137793_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137793/ERR137793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137793/ERR137793_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137793/7790_1#60.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137793/7790_1#60.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137793	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137793		
PRJEB2827	SAMEA1466101	ERS085394	ERX113812	ERR137794	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137794/ERR137794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137794/ERR137794_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137794/ERR137794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137794/ERR137794_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137794/7790_1#61.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137794/7790_1#61.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137794	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137794		
PRJEB2827	SAMEA1466119	ERS085395	ERX113813	ERR137795	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137795/ERR137795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137795/ERR137795_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137795/ERR137795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137795/ERR137795_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137795/7790_1#62.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137795/7790_1#62.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137795	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137795		
PRJEB2827	SAMEA1466188	ERS085396	ERX113814	ERR137796	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137796/ERR137796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137796/ERR137796_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137796/ERR137796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137796/ERR137796_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137796/7790_1#63.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137796/7790_1#63.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137796	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137796		
PRJEB2827	SAMEA1466195	ERS085397	ERX113815	ERR137797	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137797/ERR137797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137797/ERR137797_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137797/ERR137797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137797/ERR137797_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137797/7790_1#64.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137797/7790_1#64.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137797	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137797		
PRJEB2827	SAMEA1466156	ERS085398	ERX113816	ERR137798	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137798/ERR137798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137798/ERR137798_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137798/ERR137798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137798/ERR137798_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137798/7790_1#65.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137798/7790_1#65.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137798	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137798		
PRJEB2827	SAMEA1466153	ERS085399	ERX113817	ERR137799	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137799/ERR137799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137799/ERR137799_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137799/ERR137799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137799/ERR137799_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137799/7790_1#66.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137799/7790_1#66.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137799	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137799		
PRJEB2827	SAMEA1466149	ERS085400	ERX113818	ERR137800	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137800/ERR137800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137800/ERR137800_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137800/ERR137800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137800/ERR137800_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137800/7790_1#67.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137800/7790_1#67.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137800	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137800		
PRJEB2827	SAMEA1466165	ERS085401	ERX113819	ERR137801	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137801/ERR137801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137801/ERR137801_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137801/ERR137801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137801/ERR137801_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137801/7790_1#68.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137801/7790_1#68.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137801	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137801		
PRJEB2827	SAMEA1466141	ERS085402	ERX113820	ERR137802	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137802/ERR137802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137802/ERR137802_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137802/ERR137802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137802/ERR137802_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137802/7790_1#69.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137802/7790_1#69.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137802	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137802		
PRJEB2827	SAMEA1466131	ERS085403	ERX113821	ERR137803	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137803/ERR137803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137803/ERR137803_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137803/ERR137803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137803/ERR137803_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137803/7790_1#70.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137803/7790_1#70.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137803	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137803		
PRJEB2827	SAMEA1466112	ERS085404	ERX113822	ERR137804	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137804/ERR137804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137804/ERR137804_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137804/ERR137804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137804/ERR137804_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137804/7790_1#71.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137804/7790_1#71.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137804	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137804		
PRJEB2827	SAMEA1466116	ERS085405	ERX113823	ERR137805	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137805/ERR137805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137805/ERR137805_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137805/ERR137805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137805/ERR137805_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137805/7790_1#72.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137805/7790_1#72.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137805	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137805		
PRJEB2827	SAMEA1466105	ERS085406	ERX113824	ERR137806	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137806/ERR137806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137806/ERR137806_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137806/ERR137806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137806/ERR137806_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137806/7790_1#73.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137806/7790_1#73.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137806	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137806		
PRJEB2827	SAMEA1466194	ERS085407	ERX113825	ERR137807	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137807/ERR137807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137807/ERR137807_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137807/ERR137807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137807/ERR137807_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137807/7790_1#74.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137807/7790_1#74.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137807	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137807		
PRJEB2827	SAMEA1466181	ERS085408	ERX113826	ERR137808	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137808/ERR137808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137808/ERR137808_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137808/ERR137808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137808/ERR137808_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137808/7790_1#75.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137808/7790_1#75.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137808	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137808		
PRJEB2827	SAMEA1466169	ERS085409	ERX113827	ERR137809	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137809/ERR137809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137809/ERR137809_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137809/ERR137809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137809/ERR137809_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137809/7790_1#76.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137809/7790_1#76.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137809	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137809		
PRJEB2827	SAMEA1466100	ERS085410	ERX113828	ERR137810	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137810/ERR137810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137810/ERR137810_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137810/ERR137810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137810/ERR137810_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137810/7790_1#77.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137810/7790_1#77.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137810	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137810		
PRJEB2827	SAMEA1466109	ERS085411	ERX113829	ERR137811	561	Escherichia	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137811/ERR137811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137811/ERR137811_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137811/ERR137811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137811/ERR137811_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137811/7790_1#78.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137811/7790_1#78.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137811	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137811		
PRJEB2827	SAMEA1466125	ERS085412	ERX113830	ERR137812	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137812/ERR137812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137812/ERR137812_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137812/ERR137812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137812/ERR137812_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137812/7790_1#79.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137812/7790_1#79.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137812	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137812		
PRJEB2827	SAMEA1466146	ERS085413	ERX113831	ERR137813	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137813/ERR137813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137813/ERR137813_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137813/ERR137813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137813/ERR137813_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137813/7790_1#80.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137813/7790_1#80.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137813	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137813		
PRJEB2827	SAMEA1466159	ERS085414	ERX113832	ERR137814	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137814/ERR137814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137814/ERR137814_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137814/ERR137814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137814/ERR137814_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137814/7790_1#81.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137814/7790_1#81.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137814	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137814		
PRJEB2827	SAMEA1466176	ERS085415	ERX113833	ERR137815	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137815/ERR137815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137815/ERR137815_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137815/ERR137815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137815/ERR137815_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137815/7790_1#82.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137815/7790_1#82.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137815	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137815		
PRJEB2827	SAMEA1466166	ERS085416	ERX113834	ERR137816	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137816/ERR137816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137816/ERR137816_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137816/ERR137816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137816/ERR137816_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137816/7790_1#83.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137816/7790_1#83.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137816	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137816		
PRJEB2827	SAMEA1466177	ERS085417	ERX113835	ERR137817	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137817/ERR137817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137817/ERR137817_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137817/ERR137817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/ERR137817/ERR137817_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137817/7790_1#84.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR137/ERR137817/7790_1#84.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137817	ftp.sra.ebi.ac.uk/vol1/err/ERR137/ERR137817		
